pelvis,shoulder,elbow,wrist,x,y,z
-1.57,-1.07,-0.32000000000000006,0.0,-0.060970849227922,-0.428026481471109,-0.005493819982160919
-1.57,-1.07,-0.32000000000000006,0.25,-0.06093468590586372,-0.3826138259559628,-0.04358163309495425
-1.57,-1.07,-0.32000000000000006,0.5,-0.060892142966983434,-0.32918986714877724,-0.0692501139986765
-1.57,-1.07,-0.32000000000000006,0.75,-0.06084586552516734,-0.2710762480534435,-0.08090332087400132
-1.57,-1.07,-0.32000000000000006,1.0,-0.060798730887606414,-0.21188619203656955,-0.07781671375881086
-1.57,-1.07,-0.32000000000000006,1.25,-0.060753669657771285,-0.15529985009890734,-0.06018220293378951
-1.57,-1.07,-0.32000000000000006,1.5,-0.06071348352468258,-0.10483548691064733,-0.02909621687067157
-1.57,-1.07,-0.32000000000000006,1.57,-0.060703455355696136,-0.09224245735171334,-0.01822607334529558
-1.57,-1.07,-0.07000000000000006,0.0,-0.06091106293987321,-0.35294891809588314,-0.06835562793656141
-1.57,-1.07,-0.07000000000000006,0.25,-0.06086852000099292,-0.2995249592886975,-0.0940241088402837
-1.57,-1.07,-0.07000000000000006,0.5,-0.06082224255917683,-0.2414113401933638,-0.10567731571560829
-1.57,-1.07,-0.07000000000000006,0.75,-0.0607751079216159,-0.18222128417649003,-0.10259070860041819
-1.57,-1.07,-0.07000000000000006,1.0,-0.06073004669178077,-0.1256349422388276,-0.08495619777539651
-1.57,-1.07,-0.07000000000000006,1.25,-0.06068986055869207,-0.07517057905056758,-0.05387021171227879
-1.57,-1.07,-0.07000000000000006,1.5,-0.06065704810146688,-0.03396582429458472,-0.011265526461942399
-1.57,-1.07,-0.07000000000000006,1.57,-0.060649473258567975,-0.024453597221110623,0.0023822569853083064
-1.57,-1.07,0.17999999999999994,0.0,-0.06084075058254608,-0.26465307910716906,-0.11068872219517556
-1.57,-1.07,0.17999999999999994,0.25,-0.060794473140729985,-0.20653946001183532,-0.12234192907050029
-1.57,-1.07,0.17999999999999994,0.5,-0.06074733850316906,-0.14734940399496155,-0.11925532195530986
-1.57,-1.07,0.17999999999999994,0.75,-0.06070227727333393,-0.09076306205729927,-0.10162081113028859
-1.57,-1.07,0.17999999999999994,1.0,-0.06066209114024523,-0.040298698869039154,-0.07053482506717057
-1.57,-1.07,0.17999999999999994,1.25,-0.060629278683020045,0.000906055886943799,-0.0279301398168344
-1.57,-1.07,0.17999999999999994,1.5,-0.060605880021324075,0.03028929013190883,0.023544291644294113
-1.57,-1.07,0.17999999999999994,1.57,-0.060601229471556,0.03612929051221764,0.039121161940634405
-1.57,-1.07,0.42999999999999994,0.0,-0.06076428383776685,-0.1686287721193388,-0.12986103599401277
-1.57,-1.07,0.42999999999999994,0.25,-0.060717149200205926,-0.10943871610246488,-0.12677442887882245
-1.57,-1.07,0.42999999999999994,0.5,-0.0606720879703708,-0.05285237416480264,-0.10913991805380097
-1.57,-1.07,0.42999999999999994,0.75,-0.0606319018372821,-0.0023880109765425164,-0.07805393199068322
-1.57,-1.07,0.42999999999999994,1.0,-0.06059908938005691,0.03881674377944035,-0.035449246740346774
-1.57,-1.07,0.42999999999999994,1.25,-0.06057569071836094,0.06819997802440553,0.01602518472078157
-1.57,-1.07,0.42999999999999994,1.5,-0.06056316066764887,0.08393478456838312,0.07316893155680637
-1.57,-1.07,0.42999999999999994,1.57,-0.06056172355967164,0.08573945531746122,0.08970639435255506
-1.57,-1.07,0.6799999999999999,0.0,-0.06068641703736523,-0.07084632345472279,-0.12468052772065435
-1.57,-1.07,0.6799999999999999,0.25,-0.0606413558075301,-0.014259981517060483,-0.10704601689563298
